nodeID_from,nodeID_to,country_name,country_ISO3,SCI
1,1,Mali,MLI,349072
1,2,Mali,MLI,329613
1,3,Mali,MLI,321009
1,4,Mali,MLI,193850
1,5,Mali,MLI,486245
1,6,Mali,MLI,438669
1,7,Mali,MLI,405343
1,8,Mali,MLI,314892
1,9,Mali,MLI,406505
2,1,Mali,MLI,329613
2,2,Mali,MLI,22654939
2,3,Mali,MLI,129454
2,4,Mali,MLI,3742840
2,5,Mali,MLI,362834
2,6,Mali,MLI,577774
2,7,Mali,MLI,322636
2,8,Mali,MLI,153198
2,9,Mali,MLI,1334202
3,1,Mali,MLI,321009
3,2,Mali,MLI,129454
3,3,Mali,MLI,3954381
3,4,Mali,MLI,54576
3,5,Mali,MLI,347885
3,6,Mali,MLI,215584
3,7,Mali,MLI,246485
3,8,Mali,MLI,233050
3,9,Mali,MLI,346041
4,1,Mali,MLI,193850
4,2,Mali,MLI,3742840
4,3,Mali,MLI,54576
4,4,Mali,MLI,47738069
4,5,Mali,MLI,144044
4,6,Mali,MLI,176295
4,7,Mali,MLI,129160
4,8,Mali,MLI,51264
4,9,Mali,MLI,1129240
5,1,Mali,MLI,486245
5,2,Mali,MLI,362834
5,3,Mali,MLI,347885
5,4,Mali,MLI,144044
5,5,Mali,MLI,1358641
5,6,Mali,MLI,494275
5,7,Mali,MLI,481563
5,8,Mali,MLI,355087
5,9,Mali,MLI,461369
6,1,Mali,MLI,438669
6,2,Mali,MLI,577774
6,3,Mali,MLI,215584
6,4,Mali,MLI,176295
6,5,Mali,MLI,494275
6,6,Mali,MLI,12958296
6,7,Mali,MLI,499408
6,8,Mali,MLI,284901
6,9,Mali,MLI,713356
7,1,Mali,MLI,405343
7,2,Mali,MLI,322636
7,3,Mali,MLI,246485
7,4,Mali,MLI,129160
7,5,Mali,MLI,481563
7,6,Mali,MLI,499408
7,7,Mali,MLI,6229698
7,8,Mali,MLI,352624
7,9,Mali,MLI,408463
8,1,Mali,MLI,314892
8,2,Mali,MLI,153198
8,3,Mali,MLI,233050
8,4,Mali,MLI,51264
8,5,Mali,MLI,355087
8,6,Mali,MLI,284901
8,7,Mali,MLI,352624
8,8,Mali,MLI,3419002
8,9,Mali,MLI,167195
9,1,Mali,MLI,406505
9,2,Mali,MLI,1334202
9,3,Mali,MLI,346041
9,4,Mali,MLI,1129240
9,5,Mali,MLI,461369
9,6,Mali,MLI,713356
9,7,Mali,MLI,408463
9,8,Mali,MLI,167195
9,9,Mali,MLI,36771732
